Nome/Razão Social,CPF/CNPJ,Cidadae,Estado,Valor
LHT ENERGIA LTDA,38.354.009/0001-73,Maceió,AL,"R$ 43.700,00"
CATARINNA S ENERGIA SOLAR LTDA,23.043.176/0001-26,Joinville,SC,"R$ 18.400,00"
ELETROCLIMA COMERCIO E SERVICOS LTDA,17.345.344/0001-35,São Luiz,MA,"R$ 14.172,88"
AZZON ENERGIA SOLAR LTDA,33.271.423/0001-03,Araras,SP,"R$ 12.000,00"
SANSOL ENERGIA FOTOVOLTAICA E TECNOLOGIA LTDA.,23.108.927/0001-45,Belém,PA,"R$ 11.515,20"
ELLO REPRESENTACOES E NEGOCIOS LTDA,21.482.122/0001-31,Itajaí,SC,"R$ 10.526,10"
Irium Solar,03.586.762/0001-00,Gurupi,TO,"R$ 10.000,00"
SOLARES - ENERGIA FOTOVOLTAICA LTDA,24.300.851/0001-18,Presidente Prudente,SP,"R$ 9.446,50"
T8M ENERGIA DO BRASIL LTDA,22.408.003/0001-00,Ipatinga,MG,"R$ 9.400,00"
ALVA ENGENHARIA LTDA,22.102.866/0001-46,Praia Grande,SP,"R$ 9.400,00"
MATRIZ SOLAR ENGENHARIA LTDA,36.914.201/0001-41,São Mateus,ES,"R$ 9.200,00"
ATHOM ENGENHARIA ELETRICA LTDA,30.879.565/0001-51,Maringá,PR,"R$ 9.000,03"
SOLLARIS ENGENHARIA COMERCIOS E SERVICOS ELETRICOS LTDA,51.083.793/0001-90,Belém,PA,"R$ 8.820,00"
CENTRAL SOLAR INDUSTRIA E COMERCIO DE GERADORES FOTOVOLTAICOS LTDA,32.105.860/0001-86,Imbuia,SC,"R$ 7.195,00"
MRT DISTRIBUICAO SOLAR LTDA,63.560.741/0001-47,Ourinhos,SP,"R$ 7.149,70"
D SOLARE ENERGIA E INOVACAO LTDA,25.003.808/0001-53,Maceió,AL,"R$ 6.800,00"
R D S MOTA LTDA,24.950.144/0001-77,Rondonópolis,MT,"R$ 6.480,00"
SOLAR INVESTIMENTOS LTDA,44.694.907/0001-73,Rio Verde,GO,"R$ 6.400,00"
JISLAINE FARIAS DOS ANJOS BONINI,14.314.499/0001-16,Maringá,PR,"R$ 6.200,00"
MHZ ENERGIA SOLAR LTDA,28.664.003/0001-49,Cuiabá,MT,"R$ 6.000,00"
L. H. SOUZA BORGES LTDA,20.742.199/0001-30,Belo Horizonte,MG,"R$ 5.998,00"
SUN GATE SOLUCOES EM ENERGIA LTDA,24.097.009/0001-20,Fortaleza,CE,"R$ 5.800,00"
VERTTEC ENGENHARIA E ENERGIAS RENOVAVEIS LTDA,45.870.066/0001-70,Curitiba,PR,"R$ 5.400,00"
SELTEC SOLUCOES ELETRICAS E TECNOLOGICAS LTDA,08.825.897/0001-02,Teresina,PI,"R$ 5.200,00"
GD ENERGIA LTDA,48.613.153/0001-30,Recife,PE,"R$ 4.600,00"
TECCEL ENERGIA SOLAR COMERCIO E SERVICOS LTDA,14.237.493/0001-92,Manaus,AM,"R$ 4.600,00"
ATIVE ENERGY E VO ITA COMERCIO DE EQUIPAMENTOS DE ENERGIA SOLAR LTDA,28.829.715/0001-70,Votuporanga,SP,"R$ 4.400,00"
VESOL ENERGIA SOLAR LTDA,51.449.498/0001-05,Governador Valadares,MG,"R$ 4.400,00"
MGF ENGENHARIA E ENERGIA SOLAR LTDA,26.617.916/0001-89,Campina Grande,PB,"R$ 4.105,86"
PRIME SOL SOLUCAO EM ENERGIA LTDA,39.448.045/0001-69,São Paulo,SP,"R$ 4.047,00"
BLUMEN ENERGIA LTDA,48.621.501/0001-11,Blumenau,SC,"R$ 3.897,40"
POTENCIAL SERVICO E COMERCIO DE MATERIAIS ELETRICOS LTDA,31.595.602/0001-62,Uberlândia,MG,"R$ 3.837,00"
ENELT MATERIAIS LTDA,37.231.518/0001-46,Goiânia,GO,"R$ 3.747,50"
WM ENERGIA SOLAR LTDA,45.827.478/0001-28,Campo Grande,MS,"R$ 3.747,50"
AMPERE SOLUCOES LTDA,41.955.830/0001-50,Natal,RN,"R$ 3.632,64"
ADVANCE SERVICOS DE ENGENHARIA LTDA,37.901.120/0001-70,Brasília,DF,"R$ 3.347,90"
GDTEC ENERGIA RENOVAVEL LTDA,44.104.332/0001-91,Mogi das Cruzes,SP,"R$ 3.250,00"
VIEIRA E AVELAR ENGENHARIA LTDA,35.562.221/0001-38,Juiz de Fora,MG,"R$ 3.098,00"
BONUS SOLAR COMERCIO AP LTDA,65.816.508/0001-08,Aparecida de Goiânia,GO,"R$ 3.000,00"
VOLTAIC ENERGY LTDA,33.079.622/0001-06,Florianópolis,SC,"R$ 3.000,00"
PLACA SOL PHOTOVOLTAIC LTDA,42.438.816/0001-41,Campinas,SP,"R$ 3.000,00"
HB ENERGIA SOLAR LTDA,25.152.571/0001-72,João Pessoa,PB,"R$ 2.998,00"
BISPO EMPREENDIMENTOS LTDA,45.080.695/0001-05,Salvador,BA,"R$ 2.998,00"
EFITEC SOLAR SOLUCOES EM ELETRICA LTDA,32.174.397/0001-24,Porto Alegre,RS,"R$ 2.998,00"
NEXEN ENERGIAS RENOVAVEIS LTDA,31.841.964/0001-96,Ribeirão Preto,SP,"R$ 2.948,10"
AG POWER COMERCIO E INSTALACAO DE PAINEIS FOTOVOLTAICOS LTDA,31.390.182/0001-88,Londrina,PR,"R$ 2.848,10"
