Nome Original (Arquivo),Razão Social (Receita),CNPJ,Cidade,Estado
LHT ENERGIA LTDA,LHT ENERGIA LTDA,38354009000173,MACEIO,AL
CATARINNA S ENERGIA SOLAR LTDA,CATARINNA S ENERGIA SOLAR LTDA,23043176000126,JOINVILLE,SC
ELETROCLIMA COMERCIO E SERVICOS LTDA,ELETROCLIMA COMERCIO E SERVICOS LTDA,17345344000135,SAO LUIS,MA
AZZON ENERGIA SOLAR LTDA,AZZON ENERGIA SOLAR LTDA,33271423000103,ARARAS,SP
SANSOL ENERGIA FOTOVOLTAICA E TECNOLOGIA LTDA.,SANSOL ENERGIA FOTOVOLTAICA E TECNOLOGIA LTDA,23108927000145,BELEM,PA
ELLO REPRESENTACOES E NEGOCIOS LTDA,ELLO REPRESENTACOES E NEGOCIOS LTDA,21482122000131,ITAJAI,SC
Irium Solar,A IRIUM SOLAR LTDA,03586762000100,GURUPI,TO
SOLARES - ENERGIA FOTOVOLTAICA LTDA,SOLARES - ENERGIA FOTOVOLTAICA LTDA,24300851000118,PRESIDENTE PRUDENTE,SP
T8M ENERGIA DO BRASIL LTDA,T8M ENERGIA DO BRASIL LTDA,22408003000100,IPATINGA,MG
ALVA ENGENHARIA LTDA,ALVA ENGENHARIA LTDA,22102866000146,PRAIA GRANDE,SP
MATRIZ SOLAR ENGENHARIA LTDA,MATRIZ SOLAR ENGENHARIA LTDA,36914201000141,SAO MATEUS,ES
ATHOM ENGENHARIA ELETRICA LTDA,ATHOM ENGENHARIA ELETRICA LTDA,30879565000151,SAO JOSE DO EGITO,PE
SOLLARIS ENGENHARIA COMERCIOS E SERVICOS ELETRICOS LTDA,SOLLARIS ENERGIA COMERCIOS E SERVICOS ELETRICOS LTDA,51083793000190,BELEM,PA
CENTRAL SOLAR INDUSTRIA E COMERCIO DE GERADORES FOTOVOLTAICOS LTDA,CENTRAL SOLAR INDUSTRIA E COMERCIO DE GERADORES FOTOVOLTAICOS LTDA,32105860000186,IMBUIA,SC
MRT DISTRIBUICAO SOLAR LTDA,MRT DISTRIBUICAO SOLAR LTDA,63560741000147,OURINHOS,SP
D SOLARE ENERGIA E INOVACAO LTDA,D SOLARE ENERGIA E INOVACAO LTDA,25003808000153,MACEIO,AL
R D S MOTA LTDA,R D S MOTA LTDA,24950144000177,RONDONOPOLIS,MT
SOLAR INVESTIMENTOS LTDA,SOLAR INVESTIMENTOS LTDA,44694907000173,RIO VERDE,GO
JISLAINE FARIAS DOS ANJOS BONINI,JISLAINE FARIAS DOS ANJOS BONINI,14314499000116,COTRIGUACU,MT
MHZ ENERGIA SOLAR LTDA,MHZ ENERGIA SOLAR LTDA,28664003000149,GOIANIA,GO
L. H. SOUZA BORGES LTDA,L. H. SOUZA BORGES LTDA,20742199000130,RONDONOPOLIS,MT
SUN GATE SOLUCOES EM ENERGIA LTDA,SUN GATE SOLUCOES EM ENERGIA LTDA,24097009000120,PAROBE,RS
VERTTEC ENGENHARIA E ENERGIAS RENOVAVEIS LTDA,VERTTEC ENGENHARIA E ENERGIAS RENOVAVEIS LTDA,45870066000170,MACEIO,AL
SELTEC SOLUCOES ELETRICAS E TECNOLOGICAS LTDA,SELTEC SOLUCOES ELETRICAS E TECNOLOGICAS LTDA,08825897000102,TEOFILO OTONI,MG
GD ENERGIA LTDA,GD ENERGIA LTDA,48613153000130,CIDADE OCIDENTAL,GO
TECCEL ENERGIA SOLAR COMERCIO E SERVICOS LTDA,TECCEL ENERGIA SOLAR COMERCIO E SERVICOS LTDA,14237493000192,CAJAZEIRAS,PB
ATIVE ENERGY E VO ITA COMERCIO DE EQUIPAMENTOS DE ENERGIA SOLAR LTDA,ATIVE ENERGY E VO ITA COMERCIO DE EQUIPAMENTOS DE ENERGIA SOLAR LTDA,28829715000170,APARECIDA,PB
VESOL ENERGIA SOLAR LTDA,VESOL ENERGIA SOLAR LTDA,51449498000105,JARAGUA DO SUL,SC
MGF ENGENHARIA E ENERGIA SOLAR LTDA,MGF ENGENHARIA E ENERGIA SOLAR LTDA,26617916000189,CANOAS,RS
PRIME SOL SOLUCAO EM ENERGIA LTDA,PRIME SOL SOLUCAO EM ENERGIA LTDA,39448045000169,CAMPOS DOS GOYTACAZES,RJ
POTENCIAL SERVICO E COMERCIO DE MATERIAIS ELETRICOS LTDA,POTENCIAL SERVICO E COMERCIO DE MATERIAIS ELETRICOS LTDA,31595602000162,MANAUS,AM
ENELT MATERIAIS LTDA,ENELT MATERIAIS LTDA,37231518000146,TAIO,SC
WM ENERGIA SOLAR LTDA,WM ENERGIA SOLAR LTDA,45827478000128,MARINGA,PR
AMPERE SOLUCOES LTDA,AMPERE SOLUCOES LTDA,41955830000150,NATAL,RN
ADVANCE SERVICOS DE ENGENHARIA LTDA,ADVANCE SERVICOS DE ENGENHARIA LTDA,37901120000170,CASTANHAL,PA
GDTEC ENERGIA RENOVAVEL LTDA,GDTEC ENERGIA RENOVAVEL LTDA,44104332000191,SERRA,ES
VIEIRA E AVELAR ENGENHARIA LTDA,VIEIRA E AVELAR ENGENHARIA LTDA,35562221000138,PASSOS,MG
BONUS SOLAR COMERCIO AP LTDA,BONUS SOLAR COMERCIO AP LTDA,65816508000108,MACAPA,AP
VOLTAIC ENERGY LTDA,VOLTAIC ENERGY LTDA,33079622000106,XANXERE,SC
PLACA SOL PHOTOVOLTAIC LTDA,PLACA SOL PHOTOVOLTAIC LTDA,42438816000141,PRESIDENTE PRUDENTE,SP
HB ENERGIA SOLAR LTDA,HB ENERGIA SOLAR LTDA,25152571000172,LONDRINA,PR
